id;lesson_id;question_type;question_text;options;correct_answer;explanation;created_at
213422ed-f732-4ea2-bb2b-fcb31b69e03f;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Bagaimana menjawab「ご出身はどちらですか」?;"[""会社員です"",""ブディです"",""インドネシアです"",""25歳です""]";インドネシアです;「ご出身は」menanyakan asal/tempat kelahiran, jadi jawabannya adalah nama negara/kota.;2026-01-22 11:18:37.753336+00
5884fd1f-4faf-477c-95dd-79ce2235bfc8;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;「工場」dibaca...;"[""かいしゃ"",""こうじょう"",""しごと"",""ぶしょ""]";こうじょう;「工場」dibaca「こうじょう」(koujou) dan berarti pabrik.;2026-01-22 11:18:37.753336+00
d9bc16d1-5f41-4267-a713-93955d3f3010;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Apa yang diucapkan di AKHIR perkenalan?;"[""はじめまして"",""さようなら"",""よろしくおねがいします"",""すみません""]";よろしくおねがいします;"「よろしくおねがいします」diucapkan di akhir perkenalan, artinya ""mohon bantuannya"".";2026-01-22 11:18:37.753336+00
6089fdb0-cd38-4a87-968c-f95c68d22812;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Bagaimana merespons pujian dalam budaya Jepang?;"[""はい、そうです"",""ありがとうございます。でも、まだまだです"",""もちろんです"",""知っています""]";ありがとうございます。でも、まだまだです;"Dalam budaya Jepang, merendah saat dipuji adalah tanda kerendahan hati.「まだまだです」= ""masih jauh"".";2026-01-22 11:18:37.753336+00
7ab3787c-d377-4dfb-a03b-4e3afbea0482;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Lengkapi: A:「はじめまして」B:「___」;"[""さようなら"",""はじめまして"",""ただいま"",""いただきます""]";はじめまして;Ketika seseorang mengatakan「はじめまして」, kita membalas dengan「はじめまして」juga.;2026-01-22 11:18:37.753336+00
218fb05c-1a12-4dcd-b34a-6b45a4e69653;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Apa yang pertama kali diucapkan saat berkenalan?;"[""よろしくおねがいします"",""はじめまして"",""さようなら"",""ありがとう""]";はじめまして;「はじめまして」adalah salam yang diucapkan saat PERTAMA KALI bertemu seseorang.;2026-01-22 11:31:20.030626+00
1c6cf11a-3e97-4535-aef9-ddf6c1ac6b71;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;"Bagaimana mengatakan ""Saya datang dari Indonesia""?";"[""インドネシアに行きます"",""インドネシアから来ました"",""インドネシアで働きます"",""インドネシアを見ました""]";インドネシアから来ました;"「〜から来ました」berarti ""datang dari~"".「に」untuk tujuan,「で」untuk tempat aktivitas.";2026-01-22 11:31:20.030626+00
5829719d-6734-4b3c-bb20-08b8a18a075b;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Apa arti「わたしはインドネシア人です」?;"[""Saya tinggal di Indonesia"",""Saya orang Indonesia"",""Saya pergi ke Indonesia"",""Saya suka Indonesia""]";Saya orang Indonesia;「〜人」(jin) adalah sufiks untuk menyatakan kebangsaan. インドネシア人 = orang Indonesia.;2026-01-22 11:31:20.030626+00
c2d4d85d-10d1-4b1d-ab1e-b26c6ded1844;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Mana yang lebih SOPAN untuk mengatakan nama?;"[""ブディです"",""ブディと申します"",""ブディだ"",""ブディと言います""]";ブディと申します;「〜と申します」adalah bentuk sangat sopan dari「〜です」untuk memperkenalkan nama sendiri.;2026-01-22 11:31:20.030626+00
886fefd6-f0e4-40fd-a2d6-54be9449d1db;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Apa arti「会社で働いています」?;"[""Saya pergi ke perusahaan"",""Saya bekerja di perusahaan"",""Saya memiliki perusahaan"",""Saya mencari perusahaan""]";Saya bekerja di perusahaan;"「〜で働いています」berarti ""bekerja di~"".「で」menunjukkan tempat aktivitas.";2026-01-22 11:31:20.030626+00
2523b92c-380d-4f3b-9cb8-f0a51fe02b30;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Bagaimana menjawab「ご出身はどちらですか」?;"[""会社員です"",""ブディです"",""インドネシアです"",""25歳です""]";インドネシアです;「ご出身は」menanyakan asal/tempat kelahiran, jadi jawabannya adalah nama negara/kota.;2026-01-22 11:31:20.030626+00
79077100-3037-4cf9-85c5-9047736645eb;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;「工場」dibaca...;"[""かいしゃ"",""こうじょう"",""しごと"",""ぶしょ""]";こうじょう;「工場」dibaca「こうじょう」(koujou) dan berarti pabrik.;2026-01-22 11:31:20.030626+00
84b73570-5208-44cc-a947-e33989fef3f9;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Apa yang diucapkan di AKHIR perkenalan?;"[""はじめまして"",""さようなら"",""よろしくおねがいします"",""すみません""]";よろしくおねがいします;"「よろしくおねがいします」diucapkan di akhir perkenalan, artinya ""mohon bantuannya"".";2026-01-22 11:31:20.030626+00
a5ad4bbf-5dbb-4992-9f01-54c5bea5dc11;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Bagaimana merespons pujian dalam budaya Jepang?;"[""はい、そうです"",""ありがとうございます。でも、まだまだです"",""もちろんです"",""知っています""]";ありがとうございます。でも、まだまだです;"Dalam budaya Jepang, merendah saat dipuji adalah tanda kerendahan hati.「まだまだです」= ""masih jauh"".";2026-01-22 11:31:20.030626+00
eb579a2f-359a-4943-ae01-2debc20fd33e;d2ccd383-b92d-4322-a50f-348318b95250;multiple_choice;Lengkapi: A:「はじめまして」B:「___」;"[""さようなら"",""はじめまして"",""ただいま"",""いただきます""]";はじめまして;Ketika seseorang mengatakan「はじめまして」, kita membalas dengan「はじめまして」juga.;2026-01-22 11:31:20.030626+00
d43b8401-9541-46b8-9ce3-9bfc9bd675c3;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;"Bagaimana bertanya ""Ada berapa apel?"" dengan cara universal?";"[""りんごは何個ありますか"",""りんごはいくつありますか"",""りんごは何本ありますか"",""りんごはいくらですか""]";りんごはいくつありますか;「いくつ」adalah kata tanya universal untuk menanyakan jumlah, digunakan dengan counter「〜つ」.;2026-01-22 12:36:03.356403+00
e8711c03-fd08-4404-b465-09239848af3c;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;"Untuk bertanya ""Berapa orang?"", kita gunakan...";"[""何個"",""いくつ"",""何人"",""何本""]";何人;「何人」(なんにん) adalah kata tanya untuk menanyakan jumlah orang.;2026-01-22 12:36:03.356403+00
15d31628-eee3-4d47-8b38-89359ce8bf04;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;「ペンは何本ありますか」artinya...;"[""Pulpen ini berapa harganya?"",""Ada berapa pulpen?"",""Pulpen yang mana?"",""Dimana pulpennya?""]";Ada berapa pulpen?;「何本」(なんぼん) digunakan untuk menanyakan jumlah benda panjang seperti pulpen.;2026-01-22 12:36:03.356403+00
3017541e-7089-4475-9430-8d29e6e47cb5;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;Perbedaan「ある」dan「いる」adalah...;"[""ある untuk besar, いる untuk kecil"",""ある untuk benda mati, いる untuk makhluk hidup"",""ある formal, いる informal"",""Tidak ada perbedaan""]";ある untuk benda mati, いる untuk makhluk hidup;「ある」digunakan untuk benda mati (meja, buku), sedangkan「いる」untuk makhluk hidup (orang, hewan).;2026-01-22 12:36:03.356403+00
c45dd190-885f-413d-8f4d-2bd9f6094a75;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;"Bagaimana menjawab ""りんごはいくつありますか"" jika ada 5 apel?";"[""五本あります"",""五人います"",""五つあります"",""五枚あります""]";五つあります;Jika ditanya dengan「いくつ」, jawab dengan「〜つ」. 5 =「いつつ」atau「五つ」.;2026-01-22 12:36:03.356403+00
dead2dc9-7330-4edd-89dd-cd6d13b5e84a;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;「たくさん」artinya...;"[""Sedikit"",""Banyak"",""Setengah"",""Semua""]";Banyak;「たくさん」berarti banyak. Contoh:「りんごがたくさんあります」= Ada banyak apel.;2026-01-22 12:36:03.356403+00
337d1c76-9673-411b-a9f1-2a24f809cfac;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;"Di pabrik, untuk bertanya ""Butuh berapa baut?"", kita bilang...";"[""ねじはいくらですか"",""ねじは何本いりますか"",""ねじはどこですか"",""ねじは何ですか""]";ねじは何本いりますか;Baut adalah benda panjang, jadi gunakan「何本」.「いります」= butuh/perlu.;2026-01-22 12:36:03.356403+00
042d56ab-5aa7-409d-854b-581ebea0a6e4;40ab9f17-20cb-4803-ab51-d686c18c2a13;multiple_choice;「全部」artinya...;"[""Setengah"",""Sedikit"",""Semua / Total"",""Banyak""]";Semua / Total;「全部」(ぜんぶ) berarti semua atau total. Contoh:「全部でいくらですか」= Totalnya berapa?;2026-01-22 12:36:03.356403+00
36eb8ed9-57a1-4f4e-9b83-dfa1b545cd12;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;「みっつ」artinya...;"[""Satu"",""Dua"",""Tiga"",""Empat""]";Tiga;「みっつ」adalah cara menghitung tiga benda dengan counter universal〜つ.;2026-01-22 12:39:24.434844+00
172fe5c3-750e-4b6f-a304-345eab72e3ff;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;Untuk menghitung 2 orang, kita bilang...;"[""ににん"",""ふたり"",""ふたつ"",""にじん""]";ふたり;1 dan 2 orang adalah pengecualian:「ひとり」(1 orang) dan「ふたり」(2 orang).;2026-01-22 12:39:24.434844+00
be012da0-e4e6-4e25-9535-104f0f7845cc;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;Counter「〜本」digunakan untuk...;"[""Benda tipis"",""Benda panjang"",""Benda kecil bulat"",""Orang""]";Benda panjang;「〜本」digunakan untuk benda panjang dan silindris seperti pensil, botol, payung.;2026-01-22 12:39:24.434844+00
2532aaaa-3e71-4203-ab33-a7b7da8102a4;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;「ペンを三本ください」artinya...;"[""Tolong tiga kertas"",""Tolong tiga pulpen"",""Tolong tiga orang"",""Tolong tiga buah""]";Tolong tiga pulpen;「三本」(さんぼん) untuk 3 benda panjang. Perhatikan perubahan bunyi: ほん → ぼん.;2026-01-22 12:39:24.434844+00
53c2d1d6-f5e6-4c59-a9d6-fc23acb22bb4;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;Counter「〜枚」cocok untuk...;"[""Pulpen"",""Kertas"",""Apel"",""Mobil""]";Kertas;「〜枚」untuk benda tipis dan datar seperti kertas, tiket, baju.;2026-01-22 12:39:24.434844+00
fc3e6f8e-181d-4f3a-9da3-c50f7630e08b;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;「いっこ」adalah cara baca dari...;"[""一人"",""一本"",""一個"",""一枚""]";一個;「一個」(いっこ) = satu buah. Perhatikan っ kecil (sokuon) di depan.;2026-01-22 12:39:24.434844+00
b940f437-231f-4c9a-8a88-b7b43c536812;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;Di pabrik, untuk menghitung mesin kita gunakan...;"[""〜個"",""〜本"",""〜枚"",""〜台""]";〜台;「〜台」digunakan untuk mesin dan kendaraan.;2026-01-22 12:39:24.434844+00
45047a6d-c6d1-4a88-bae1-b31613d83c33;cb56d1ce-f315-4182-a236-0b641ff05a29;multiple_choice;Jika tidak tahu counter yang tepat, gunakan...;"[""〜人"",""〜つ"",""〜個"",""〜本""]";〜つ;「〜つ」adalah counter universal yang bisa digunakan untuk berbagai benda.;2026-01-22 12:39:24.434844+00
ee6880e9-aa47-4eb7-a14b-9b6bdaffb563;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;"Untuk bertanya ""Berapa harganya?"", kita bilang...";"[""これはいくつですか"",""これはいくらですか"",""これはなんですか"",""これはどこですか""]";これはいくらですか;「いくら」khusus untuk menanyakan harga, sedangkan「いくつ」untuk jumlah.;2026-01-22 12:41:10.507067+00
1dfad188-426b-4c91-9bde-2eccf03fbbb4;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;「高い」artinya...;"[""Murah"",""Mahal"",""Besar"",""Kecil""]";Mahal;「高い」(たかい) berarti mahal. Kebalikannya adalah「安い」(やすい) = murah.;2026-01-22 12:41:10.507067+00
ed40a0ef-c529-40dc-bd09-f4f2acfc53b1;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;「おつり」artinya...;"[""Harga"",""Uang"",""Kembalian"",""Total""]";Kembalian;「おつり」adalah uang kembalian setelah membayar.;2026-01-22 12:41:10.507067+00
c8dbabd4-15dc-467d-b32e-71e69cdb2a25;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;Mata uang Jepang adalah...;"[""ドル (doru)"",""円 (en)"",""ウォン (won)"",""ルピア (rupia)""]";円 (en);"「円」(えん) adalah mata uang Jepang, dibaca ""en"" atau ""yen"".";2026-01-22 12:41:10.507067+00
083f7b93-0e82-4fc1-bb35-0d7c075d15c1;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;「全部でいくらですか」artinya...;"[""Ini apa?"",""Ada berapa?"",""Totalnya berapa?"",""Dimana semuanya?""]";Totalnya berapa?;「全部で」= total/semuanya.「いくら」= berapa (harga).;2026-01-22 12:41:10.507067+00
a04b0f9c-cc65-4c24-b04f-0c9c0a2a0c0a;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;「買う」artinya...;"[""Menjual"",""Membeli"",""Membayar"",""Menukar""]";Membeli;「買う」(かう) = membeli.「払う」(はらう) = membayar.;2026-01-22 12:41:10.507067+00
f4a96b4d-8f50-4c98-8b3e-12ea2f9cda79;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;「カードで払います」artinya...;"[""Saya bayar tunai"",""Saya bayar dengan kartu"",""Saya beli kartu"",""Kartunya mahal""]";Saya bayar dengan kartu;「で」menunjukkan alat/cara.「カードで」= dengan kartu.;2026-01-22 12:41:10.507067+00
9bd5b129-f2c9-4487-bbbf-8960fafb312c;2198cfcd-a9e1-4573-9e61-df8ec66abda4;multiple_choice;Kebalikan dari「高い」adalah...;"[""大きい"",""小さい"",""安い"",""新しい""]";安い;「高い」(mahal) ↔「安い」(murah).「大きい」(besar) ↔「小さい」(kecil).;2026-01-22 12:41:10.507067+00
e43aa059-1cac-4e13-8e64-4525bf16aa8e;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;Apa yang diucapkan kasir saat pelanggan masuk toko?;"[""ありがとうございます"",""いらっしゃいませ"",""すみません"",""おはようございます""]";いらっしゃいませ;「いらっしゃいませ」adalah sapaan standar di toko Jepang saat pelanggan masuk.;2026-01-22 12:43:29.690346+00
138ae3a2-2f4d-4365-9d4a-9e589799bd13;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;「かしこまりました」artinya...;"[""Terima kasih"",""Baik, saya mengerti"",""Selamat datang"",""Sampai jumpa""]";Baik, saya mengerti;"「かしこまりました」adalah cara sangat sopan untuk mengatakan ""Baik, saya mengerti"", sering digunakan oleh pelayan/kasir.";2026-01-22 12:43:29.690346+00
8766739f-b567-4e72-bcf5-daf8e071a30e;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;Dalam dialog, berapa harga satu onigiri?;"[""100円"",""150円"",""200円"",""450円""]";150円;Kasir menjawab「それは百五十円です」= Itu 150 yen.;2026-01-22 12:43:29.690346+00
67ff2f02-064a-498e-886d-40ff3aaf99ad;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;Budi memesan berapa onigiri?;"[""一つ"",""二つ"",""三つ"",""四つ""]";二つ;Budi bilang「これを二つください」= Tolong ini dua.;2026-01-22 12:43:29.690346+00
02948538-2295-46ee-8861-43e7a20ba3ad;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;「千円でお願いします」digunakan untuk...;"[""Menanyakan harga"",""Memberitahu cara bayar"",""Memesan makanan"",""Minta diskon""]";Memberitahu cara bayar;"Frasa ini digunakan saat memberikan uang ke kasir, artinya ""Dengan uang 1000 yen"".";2026-01-22 12:43:29.690346+00
e291057a-7f68-405a-9809-f30363a677f3;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;Berapa total belanja Budi?;"[""300円"",""400円"",""450円"",""550円""]";450円;Kasir bilang「全部で四百五十円です」= Totalnya 450 yen.;2026-01-22 12:43:29.690346+00
5b2410ac-f399-4d4c-a146-f60f794c8bcf;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;Berapa kembalian yang diterima Budi?;"[""450円"",""500円"",""550円"",""600円""]";550円;1000円 - 450円 = 550円. Kasir bilang「五百五十円のおつりです」.;2026-01-22 12:43:29.690346+00
aeb2af87-bde5-4abd-88b0-742e13cbf156;9d2de7ac-3ad5-4fcd-b7bf-b77b4a40195e;multiple_choice;Bagaimana kita merespons「いらっしゃいませ」?;"[""Bilang いらっしゃいませ juga"",""Cukup tersenyum atau mengangguk"",""Bilang すみません"",""Bilang おはようございます""]";Cukup tersenyum atau mengangguk;Di Jepang, kita tidak perlu membalas「いらっしゃいませ」. Cukup tersenyum atau mengangguk saja.;2026-01-22 12:43:29.690346+00
c2bdcbc8-9d5e-45fa-bbbf-cc6b1175721e;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;Angka「三」dibaca...;"[""いち"",""に"",""さん"",""し""]";さん;「三」dibaca「さん」(san) dan berarti tiga.;2026-01-22 12:47:12.547473+00
ccc0d117-963c-40e3-bbcc-890630d2eb82;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;"Bagaimana mengatakan ""20"" dalam bahasa Jepang?";"[""じゅうに"",""にじゅう"",""ふたつ"",""はたち""]";にじゅう;20 dibaca「にじゅう」(ni-juu). Pola: [angka satuan] + じゅう.;2026-01-22 12:47:12.547473+00
4753d692-b1f7-45fa-a71c-3ede72292505;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;「六百」dibaca...;"[""ろくひゃく"",""ろっぴゃく"",""むひゃく"",""ろくびゃく""]";ろっぴゃく;「六百」dibaca「ろっぴゃく」(roppyaku). Ada perubahan bunyi pada 300, 600, 800.;2026-01-22 12:47:12.547473+00
b0c98ea9-b650-4e54-9461-f23a267bba8d;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;Counter untuk menghitung ORANG adalah...;"[""〜つ"",""〜個"",""〜人"",""〜本""]";〜人;「〜人」(nin) adalah counter untuk menghitung orang.;2026-01-22 12:47:12.547473+00
ae2a6b61-1945-4681-9bde-763ea5b95085;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;"Bagaimana mengatakan ""2 orang""?";"[""にじん"",""ふたり"",""ににん"",""ふたにん""]";ふたり;1 orang =「ひとり」, 2 orang =「ふたり」. Ini pengecualian dari pola regular.;2026-01-22 12:47:12.547473+00
a4915de5-065f-477b-939c-c98c118cfc92;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;Counter「〜本」digunakan untuk...;"[""Benda bulat"",""Benda tipis"",""Benda panjang seperti pensil"",""Orang""]";Benda panjang seperti pensil;「〜本」(hon) digunakan untuk benda panjang dan silindris: pensil, botol, payung, pohon.;2026-01-22 12:47:12.547473+00
fd361509-70b1-4a99-9da5-5c135e82e12b;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;"Bagaimana bertanya ""Berapa harganya?""";"[""なんですか"",""いくらですか"",""どこですか"",""だれですか""]";いくらですか;"「いくら」berarti ""berapa (harga)"".「いくらですか」= Berapa harganya?";2026-01-22 12:47:12.547473+00
164859ac-310b-4612-bd28-436e2d476910;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;「一万円」adalah berapa?;"[""1.000 yen"",""10.000 yen"",""100.000 yen"",""100 yen""]";10.000 yen;「一万」(ichi-man) = 10.000. Dalam bahasa Jepang,「万」adalah unit untuk 10.000.;2026-01-22 12:47:12.547473+00
f45613b7-e272-4ea1-a263-de8c988fa136;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;"Bagaimana mengatakan ""3 buah apel"" dengan counter universal?";"[""りんごさんこ"",""りんごをみっつ"",""りんごさんぼん"",""りんごさんまい""]";りんごをみっつ;「みっつ」adalah angka 3 dengan counter universal「〜つ」.;2026-01-22 12:47:12.547473+00
d7d06ee3-9bf9-4ac7-ba2f-cb2461627221;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;Apa arti「おつり」?;"[""Harga"",""Kembalian"",""Total"",""Diskon""]";Kembalian;「おつり」berarti kembalian (uang yang dikembalikan setelah membayar).;2026-01-22 12:47:12.547473+00
785b2ff8-74d1-432b-8e48-0fbd6ec61249;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;「八時」dibaca...;"[""やじ"",""はちじ"",""はつじ"",""よじ""]";はちじ;「八時」dibaca「はちじ」(hachi-ji) = jam 8.;2026-01-22 12:47:12.547473+00
1380d846-3e0c-4e70-bf56-f528056f727d;b387c766-953e-48ad-be3d-95bf60ef37a3;multiple_choice;Hitungan: 150 + 300 = ___円;"[""よんひゃくごじゅう"",""ごひゃく"",""さんびゃくごじゅう"",""よんひゃく""]";よんひゃくごじゅう;150 + 300 = 450「よんひゃくごじゅう」(yon-hyaku-go-juu).;2026-01-22 12:47:12.547473+00
5c53e644-1a3f-4a63-b4bc-b9d507bf5182;b1b2c3d4-0010-5678-9abc-def012345678;multiple_choice;「四時」の読み方は？;"[""しじ"",""よじ"",""よんじ"",""しちじ""]";よじ;「四時」dibaca「よじ」bukan「しじ」. Ini pengecualian penting!;2026-01-22 13:51:25.752647+00
771a5c12-688b-4fa4-9359-89eb50c0a7d3;b1b2c3d4-0010-5678-9abc-def012345678;multiple_choice;「九時」の読み方は？;"[""きゅうじ"",""くじ"",""ここのじ"",""きゅーじ""]";くじ;「九時」dibaca「くじ」bukan「きゅうじ」.;2026-01-22 13:51:25.752647+00
ba229839-84cd-4bc7-8128-edd5ea16cbf7;b1b2c3d4-0010-5678-9abc-def012345678;multiple_choice;「三分」の読み方は？;"[""さんふん"",""さんぷん"",""みふん"",""さんぶん""]";さんぷん;「三分」dibaca「さんぷん」dengan perubahan bunyi (rendaku).;2026-01-22 13:51:25.752647+00
